dagname,jobname,machine_ip,start_time,end_time,duration,other_info
297,LoadData,ip-172-31-58-91,1704516749.923,1704516750.875,0.952,
297,Clustering1,ip-172-31-58-91,1704516769.38,1704517172.411,403.031,100
297,Clustering2,ip-172-31-52-181,1704516770.391,1704517202.867,432.476,125
297,Clustering3,ip-172-31-48-192,1704516770.775,1704517237.677,466.902,150
297,Clustering5,ip-172-31-52-181,1704516770.39,1704517259.952,489.562,200
297,Clustering4,ip-172-31-48-192,1704516770.775,1704517279.51,508.735,175
297,Clustering6,ip-172-31-58-91,1704517180.797,1704517692.716,511.919,225
297,Clustering7,ip-172-31-52-181,1704517211.352,1704517737.978,526.626,250
297,Clustering8,ip-172-31-48-192,1704517246.364,1704517816.353,569.989,275
297,Clustering9,ip-172-31-52-181,1704517264.794,1704517836.167,571.373,300
297,Clustering10,ip-172-31-48-192,1704517284.806,1704517892.54,607.734,325
297,Visualization,ip-172-31-58-91,1704517906.454,1704517906.902,0.448,
297,EmailResult,ip-172-31-58-91,1704517916.774,1704517917.764,0.99,
