dagname,jobname,machine_ip,start_time,end_time,duration,other_info
311,LoadData,ip-172-31-48-192,1704518121.657,1704518122.881,1.224,
311,Clustering1,ip-172-31-48-192,1704518139.278,1704518564.564,425.286,100
311,Clustering2,ip-172-31-48-192,1704518502.502,1704518953.116,450.614,125
311,Clustering3,ip-172-31-48-192,1704518571.248,1704519039.376,468.128,150
311,Clustering4,ip-172-31-48-192,1704518961.64,1704519471.568,509.928,175
311,Clustering5,ip-172-31-48-192,1704519047.901,1704519557.53,509.629,200
311,Clustering6,ip-172-31-48-192,1704519479.944,1704520022.917,542.973,225
311,Clustering7,ip-172-31-48-192,1704519582.381,1704520131.285,548.904,250
311,Clustering8,ip-172-31-48-192,1704520062.813,1704520636.372,573.559,275
311,Clustering9,ip-172-31-48-192,1704520139.428,1704520830.718,691.29,300
311,Clustering10,ip-172-31-48-192,1704520644.892,1704521495.53,850.638,325
311,Visualization,ip-172-31-48-192,1704521521.511,1704521521.937,0.426,
311,EmailResult,ip-172-31-48-192,1704521531.744,1704521532.748,1.004,
